run,best_distance,time_seconds,peak_memory_mb,gap_percent
1,8581,13.33,0.59,232.73
2,8551,12.28,0.59,231.56
3,8573,13.09,0.59,232.42
4,8885,13.09,0.59,244.51
5,8627,12.54,0.59,234.51
6,8842,12.32,0.59,242.85
7,8826,12.15,0.59,242.23
8,8810,12.17,0.59,241.61
9,8548,12.39,0.59,231.45
10,8280,12.11,0.59,221.05
11,8793,12.19,0.59,240.95
12,8705,12.86,0.59,237.53
13,8775,13.74,0.59,240.25
14,8171,13.81,0.59,216.83
15,8719,13.86,0.59,238.08
16,8880,14.01,0.59,244.32
17,8933,14.04,0.59,246.37
18,8648,13.72,0.59,235.32
19,8811,12.9,0.59,241.64
20,8819,13.88,0.59,241.95
21,9126,13.28,0.59,253.86
22,8759,13.38,0.59,239.63
23,8582,13.17,0.59,232.76
24,9008,13.14,0.59,249.28
25,8473,13.43,0.59,228.54
