run,best_distance,time_seconds,peak_memory_mb,gap_percent
1,8456,4.98,0.18,12.12
2,7917,4.92,0.15,4.97
3,8011,4.97,0.15,6.22
4,8470,5.24,0.15,12.3
5,8337,5.19,0.15,10.54
6,8253,5.04,0.15,9.43
7,8166,4.95,0.15,8.27
8,8096,4.98,0.15,7.35
9,8633,5.0,0.15,14.47
10,7727,5.04,0.15,2.45
11,7950,5.0,0.15,5.41
12,8150,5.01,0.15,8.06
13,8144,5.02,0.15,7.98
14,7790,5.18,0.15,3.29
15,8317,5.02,0.15,10.28
16,8237,5.03,0.15,9.22
17,8427,5.11,0.15,11.73
18,8768,5.07,0.15,16.26
19,7958,5.03,0.15,5.52
20,8203,5.11,0.15,8.76
21,7854,5.06,0.15,4.14
22,8510,5.11,0.15,12.83
23,8051,5.28,0.15,6.75
24,8568,5.17,0.15,13.6
25,8222,5.39,0.15,9.02
