run,best_distance,time_seconds,peak_memory_mb,gap_percent
1,12613,17.08,0.35,93.21
2,12193,16.69,0.35,86.78
3,13206,17.15,0.35,102.3
4,11261,17.11,0.35,72.5
5,12906,16.56,0.35,97.7
6,12552,16.37,0.35,92.28
7,12252,16.47,0.35,87.68
8,12940,17.02,0.35,98.22
9,12226,16.47,0.35,87.29
10,13011,16.44,0.35,99.31
11,12857,16.41,0.35,96.95
12,12990,16.33,0.35,98.99
13,12775,16.3,0.35,95.7
14,12217,16.21,0.35,87.15
15,12035,16.33,0.35,84.36
16,12813,16.2,0.35,96.28
17,12169,16.02,0.35,86.41
18,12151,16.11,0.35,86.14
19,12193,16.05,0.35,86.78
20,12895,16.01,0.35,97.53
21,12348,16.23,0.35,89.15
22,12778,16.23,0.35,95.74
23,13702,16.31,0.35,109.9
24,12207,15.99,0.35,86.99
25,12461,16.2,0.35,90.89
