run,best_distance,time_seconds,peak_memory_mb,gap_percent
1,614,6.25,0.2,14.13
2,620,6.51,0.2,15.24
3,644,6.59,0.2,19.7
4,661,6.24,0.2,22.86
5,641,5.99,0.2,19.14
6,649,6.1,0.2,20.63
7,645,5.93,0.2,19.89
8,620,6.01,0.2,15.24
9,614,5.96,0.2,14.13
10,651,5.94,0.2,21.0
11,633,5.96,0.2,17.66
12,646,5.88,0.2,20.07
13,658,5.85,0.2,22.3
14,609,5.82,0.2,13.2
15,654,5.79,0.2,21.56
16,633,5.74,0.2,17.66
17,641,5.83,0.2,19.14
18,640,5.87,0.2,18.96
19,636,6.05,0.2,18.22
20,617,5.96,0.2,14.68
21,624,5.93,0.2,15.99
22,650,6.1,0.2,20.82
23,606,5.86,0.2,12.64
24,659,5.88,0.2,22.49
25,617,5.89,0.2,14.68
