run,best_distance,time_seconds,peak_memory_mb,gap_percent
1,30315,12.61,0.25,42.44
2,30021,12.5,0.26,41.06
3,31618,12.49,0.25,48.57
4,30705,12.94,0.26,44.28
5,28645,12.99,0.26,34.6
6,30482,12.92,0.25,43.23
7,31567,12.6,0.26,48.33
8,35297,12.78,0.25,65.85
9,33869,12.47,0.26,59.14
10,31280,12.47,0.26,46.98
11,31571,12.55,0.25,48.35
12,34004,12.48,0.25,59.78
13,32602,12.57,0.25,53.19
14,31740,12.46,0.26,49.14
15,31821,12.37,0.25,49.52
16,30802,12.37,0.25,44.73
17,30422,12.44,0.26,42.95
18,31566,12.61,0.26,48.32
19,33492,12.87,0.25,57.37
20,31319,12.5,0.26,47.16
21,32315,12.51,0.26,51.84
22,29335,12.87,0.26,37.84
23,31583,13.46,0.25,48.4
24,29155,13.46,0.25,36.99
25,29848,13.25,0.25,40.25
